Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
MP_E1083_SKQ2021	68.25066667	-167.12175	E1083.SKQ2021	DBO3.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
MP_E1084_SKQ2021	68.25066667	-167.12175	E1084.SKQ2021	DBO3.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.9
MP_E1085_SKQ2021	68.19051667	-167.2911667	E1085.SKQ2021	DBO3.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43
MP_E1086_SKQ2021	68.19051667	-167.2911667	E1086.SKQ2021	DBO3.3	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
MP_E1087_SKQ2021	68.19051667	-167.2911667	E1087.SKQ2021	DBO3.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.6
MP_E1088_SKQ2021	68.11666667	-167.4833333	E1088.SKQ2021	DBO3.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45
MP_E1089_SKQ2021	68.11666667	-167.4833333	E1089.SKQ2021	DBO3.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
MP_E1090_SKQ2021	68.11666667	-167.4833333	E1090.SKQ2021	DBO3.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
MP_E1091_SKQ2021	68.013	-167.8853333	E1091.SKQ2021	DBO3.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	48.5
MP_E1092_SKQ2021	68.013	-167.8853333	E1092.SKQ2021	DBO3.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
MP_E1093_SKQ2021	68.013	-167.8853333	E1093.SKQ2021	DBO3.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
MP_E1094_SKQ2021	68.88333333	-167.2166667	E1094.SKQ2021	DBO3.6	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	52.7
MP_E1095_SKQ2021	68.88333333	-167.2166667	E1095.SKQ2021	DBO3.6	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
MP_E1096_SKQ2021	68.88333333	-167.2166667	E1096.SKQ2021	DBO3.6	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.3
MP_E1097_SKQ2021	67.78283333	-168.5949667	E1097.SKQ2021	DBO3.7	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45
MP_E1098_SKQ2021	67.78283333	-168.5949667	E1098.SKQ2021	DBO3.7	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
MP_E1099_SKQ2021	67.78283333	-168.5949667	E1099.SKQ2021	DBO3.7	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
MP_E1100_SKQ2021	62.20133333	-174.68	E1100.SKQ2021	M8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	68.4
MP_E1101_SKQ2021	62.20133333	-174.68	E1101.SKQ2021	M8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	31.1
MP_E1102_SKQ2021	62.20133333	-174.68	E1102.SKQ2021	M8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
MP_E1103_SKQ2021	62	-175.0666667	E1103.SKQ2021	DBO1.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	73.9
MP_E1104_SKQ2021	62	-175.0666667	E1104.SKQ2021	DBO1.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
MP_E1105_SKQ2021	62	-175.0666667	E1105.SKQ2021	DBO1.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.8
MP_E1106_SKQ2021	62.04928333	-175.2086333	E1106.SKQ2021	DBO1.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	75.9
MP_E1107_SKQ2021	62.04928333	-175.2086333	E1107.SKQ2021	DBO1.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.8
MP_E1108_SKQ2021	62.04928333	-175.2086333	E1108.SKQ2021	DBO1.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
MP_E1109_SKQ2021	62.22	-174.8778333	E1109.SKQ2021	DBO1.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	69.7
MP_E1110_SKQ2021	62.22	-174.8778333	E1110.SKQ2021	DBO1.3	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
MP_E1111_SKQ2021	62.22	-174.8778333	E1111.SKQ2021	DBO1.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.9
MP_E1112_SKQ2021	62.39033333	-174.5716	E1112.SKQ2021	DBO1.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.4
MP_E1113_SKQ2021	62.39033333	-174.5716	E1113.SKQ2021	DBO1.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
MP_E1114_SKQ2021	62.39033333	-174.5716	E1114.SKQ2021	DBO1.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
MP_E1115_SKQ2021	62.46833333	-174.0845	E1115.SKQ2021	DBO1.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	62.6
MP_E1116_SKQ2021	62.46833333	-174.0845	E1116.SKQ2021	DBO1.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	29.5
MP_E1117_SKQ2021	62.46833333	-174.0845	E1117.SKQ2021	DBO1.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.8
MP_E1118_SKQ2021	62.5605	-173.55045	E1118.SKQ2021	DBO1.6	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.2
MP_E1119_SKQ2021	62.5605	-173.55045	E1119.SKQ2021	DBO1.6	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
MP_E1120_SKQ2021	62.5605	-173.55045	E1120.SKQ2021	DBO1.6	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.9
MP_E1121_SKQ2021	62.7875	-173.5004167	E1121.SKQ2021	DBO1.7	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.6
MP_E1122_SKQ2021	62.7875	-173.5004167	E1122.SKQ2021	DBO1.7	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	31.2
MP_E1123_SKQ2021	62.7875	-173.5004167	E1123.SKQ2021	DBO1.7	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.9
MP_E1124_SKQ2021	63.03016667	-173.461	E1124.SKQ2021	DBO1.8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	64.9
MP_E1125_SKQ2021	63.03016667	-173.461	E1125.SKQ2021	DBO1.8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
MP_E1126_SKQ2021	63.03016667	-173.461	E1126.SKQ2021	DBO1.8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.8
MP_E1127_SKQ2021	63.27833333	-173.281	E1127.SKQ2021	DBO1.9	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.9
MP_E1128_SKQ2021	63.27833333	-173.281	E1128.SKQ2021	DBO1.9	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
MP_E1129_SKQ2021	63.27833333	-173.281	E1129.SKQ2021	DBO1.9	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.6
MP_E1130_SKQ2021	63.60483333	-172.5931667	E1130.SKQ2021	DBO1.10	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45.5
MP_E1131_SKQ2021	63.60483333	-172.5931667	E1131.SKQ2021	DBO1.10	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	29.7
MP_E1132_SKQ2021	63.60483333	-172.5931667	E1132.SKQ2021	DBO1.10	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.5
MP_E1133_SKQ2021	64.67016667	-169.9187	E1133.SKQ2021	DBO2.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42.6
MP_E1134_SKQ2021	64.67016667	-169.9187	E1134.SKQ2021	DBO2.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.1
MP_E1135_SKQ2021	64.67016667	-169.9187	E1135.SKQ2021	DBO2.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
MP_E1136_SKQ2021	64.68	-169.1006667	E1136.SKQ2021	DBO2.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.8
MP_E1137_SKQ2021	64.68	-169.1006667	E1137.SKQ2021	DBO2.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.2
MP_E1138_SKQ2021	64.68	-169.1006667	E1138.SKQ2021	DBO2.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
MP_E1139_SKQ2021	64.98983333	-169.1398333	E1139.SKQ2021	DBO2.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44.4
MP_E1140_SKQ2021	64.98983333	-169.1398333	E1140.SKQ2021	DBO2.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
MP_E1141_SKQ2021	64.98983333	-169.1398333	E1141.SKQ2021	DBO2.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
MP_E1142_SKQ2021	64.95883333	-169.8803333	E1142.SKQ2021	DBO2.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44
MP_E1143_SKQ2021	64.95883333	-169.8803333	E1143.SKQ2021	DBO2.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
MP_E1144_SKQ2021	64.95883333	-169.8803333	E1144.SKQ2021	DBO2.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
MP_E1145_SKQ2021	64.66983333	-168.2356667	E1145.SKQ2021	DBO2.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	33.7
MP_E1146_SKQ2021	64.66983333	-168.2356667	E1146.SKQ2021	DBO2.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
MP_POSITIVE	NA	NA	POSITIVE	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA
