x	MP_E370	MP_E373	MP_E378	MP_E380	MP_E384_3B	MP_E386_1B	MP_E388_1B	MP_E392	MP_E394	MP_E395	MP_E396	MP_E400	MP_E404	MP_E405	MP_E406	MP_E408	MP_E411_1T	MP_E412_1B	MP_E412_2T	MP_E412_3T	MP_E413_1B	MP_E413_2B	MP_E413_3B	MP_E418_1B	MP_E418_2T	MP_E418_3T	MP_E419_1B	MP_E419_2B	MP_E419_3B	MP_E423	MP_E424	MP_E425	MP_E427	MP_E428	MP_E429	MP_E430	MP_E431	MP_E432	MP_E433	MP_E434	MP_E435	MP_E436	MP_E437	MP_E438	MP_E440	MP_E441	MP_E442	MP_E444	MP_E445	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E447_1B_PCR1	MP_E447_2B_PCR1	MP_E447_3B_PCR1	MP_E448_1B_PCR1	MP_E448_2B_PCR1	MP_E448_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E450_1B_PCR1	MP_E450_2B_PCR1	MP_E450_3B_PCR1	MP_E451	MP_E453	MP_E454	MP_E455	MP_E458_1B	MP_E463	MP_E464	MP_E465	MP_E466_1B	MP_E466_2B	MP_E466_3B	MP_E467	MP_E469	MP_E470	MP_E471	MP_E472	MP_E474	MP_E475_PCR1	MP_E476	MP_E477	MP_E478	MP_E479	MP_E486_PCR1	MP_E487	MP_E488	MP_E489	MP_E490	MP_E491	MP_E492_1B_PCR1	MP_E494_PCR1	MP_E495_PCR1	MP_E496_1T_PCR1	MP_E496_2T_PCR1	MP_E496_3B_PCR1	MP_E497_PCR1	MP_E498_1B_PCR1	MP_E498_2B_PCR1	MP_E498_3B_PCR1	MP_E499	MP_E501	MP_E502	MP_E503	MP_E504	MP_E505	MP_E506	MP_E516	MP_E520_1B	MP_E522_1B	MP_E522_2T	MP_E522_3T	MP_E523_1B	MP_E523_2B	MP_E523_3B	MP_E524	MP_E528	MP_E529	MP_E531	MP_E532	MP_E533	MP_E534	MP_E535	MP_E536	MP_E537	MP_E538	MP_E539	MP_E540	MP_E541	MP_E542	MP_E543	MP_E544	MP_E545	MP_E552	MP_E555	MP_E557	MP_E560	MP_E561	MP_E562	MP_E563	MP_E564	MP_E565	MP_E566	MP_E567	MP_E568	MP_E569	MP_E570	MP_E571	MP_E572	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E574_1B_PCR1	MP_E574_2B_PCR1	MP_E574_3B_PCR1	MP_E575_1B_PCR1	MP_E575_2B_PCR1	MP_E575_3B_PCR1	MP_E579	MP_E580	MP_E581	MP_E583	MP_E588	MP_E590	MP_E592	MP_E593	MP_E594	MP_E595	MP_E596	MP_E597	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E599_PCR1	MP_E600_1B_PCR1	MP_E600_2B_PCR1	MP_E600_3B_PCR1	MP_E601	MP_E602	MP_E603	MP_E604	MP_E605	MP_E606	MP_E607	MP_E609	MP_E622	MP_E623	MP_E626	MP_E627	MP_E632	MP_E633	MP_E634	MP_E635	MP_E636	MP_E637	MP_E638	MP_E639	MP_E640	MP_E649	MP_E650	MP_E653	MP_E654	MP_E655	MP_E656	MP_E657	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E659_1B	MP_E659_2B	MP_E659_3B	MP_E660_1B	MP_E660_2B	MP_E660_3B	MP_E661	MP_E663	MP_E666	MP_E667	MP_E675_1B	MP_E680	MP_E681	MP_E685	MP_E686	MP_E688	MP_E689	MP_E690	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E692_1B	MP_E692_2B	MP_E692_3B	MP_E693_1B	MP_E693_2B	MP_E693_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E695_1B	MP_E695_2B	MP_E695_3B	MP_E696_1B	MP_E696_2B	MP_E696_3B	MP_E699	MP_E700	MP_E707	MP_E709	MP_E713	MP_E715	MP_E716	MP_E718	MP_E721	MP_E724	MP_E725_1B	MP_E730_1B	MP_E733	MP_E737	MP_E742_1B	MP_E742_2T	MP_E742_3T	MP_E746	MP_E747	MP_E748	MP_E749	MP_E750	MP_E753	MP_E756	MP_E757	MP_E758	MP_E759	MP_E760	MP_E761	MP_E768_1B	MP_E769_1B	MP_E769_2T	MP_E769_3T	MP_E770	MP_E771	MP_E772_1B	MP_E772_2B	MP_E772_3B	MP_E773	MP_E774	MP_E775	MP_E780	MP_E781	MP_E784	MP_E785	MP_E788_1B	MP_E788_2B	MP_E788_3B	MP_E789	MP_E792	MP_E798	MP_E800	MP_E801	MP_E804	MP_E805	MP_E809_1B	MP_E809_2T	MP_E809_3T	MP_E810_1B	MP_E810_2B	MP_E810_3B	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E812	MP_E813_1B	MP_E813_2B	MP_E813_3B	MP_E814_1B	MP_E814_2B	MP_E814_3B	MP_E819	MP_E822	MP_E823	MP_E824	MP_E825	MP_E829	MP_E831	MP_E832	MP_E833	MP_E840	MP_E841	MP_E843	MP_E846	MP_E852	MP_E854	MP_E856	MP_E857	MP_E858	MP_E859	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E861_1B	MP_E861_2B	MP_E861_3B	MP_E862_1B	MP_E862_2B	MP_E862_3B	MP_E866	MP_E867	MP_E868	MP_E869	MP_E870	MP_E871	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E873_1B	MP_E873_2B	MP_E873_3B	MP_E874_1B	MP_E874_2B	MP_E874_3B	MP_E875	MP_E876	MP_E880	MP_E881	MP_E885_1B	MP_E885_2T	MP_E885_3T	MP_E886_1B	MP_E886_2B	MP_E886_3B	MP_E892	MP_E895	MP_E896	MP_E901	MP_E903_1B	MP_E904_1B	MP_E904_2B	MP_E904_3B	MP_E907
ASV_11048	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	2	5	0	5	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11061	6	0	0	0	574	0	0	0	0	0	0	0	159	0	0	0	0	0	141	0	0	0	0	2	0	14	0	0	0	0	0	0	1	1	0	0	40	1	852	0	0	0	0	0	428	0	1085	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	125	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	216	37	393	0	0	0	44	0	0	0	0	0	0	0	0	0	457	27	0	0	0	0	0	0	0	0	8	0	0	0	0	75	50	0	0	54	31	0	14	106	36	0	11	0	0	0	0	0	0	5	0	82	1	1	68	0	0	51	39	0	1	0	57	0	0	43	0	1	0	38	0	0	0	0	0	0	0	26	11	349	0	0	850	904	0	0	0	0	10	0	0	0	96	11	0	18	293	0	35	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	1	0	0	0	31	69	0	182	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	649	0	0	0	416	0	0	0	0	0	0	15	2	0	915	0	0	0	0	0	0	0	0	0	1024	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	7	19	0	28	43	0	6	282	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	423	5	0	0	0	0	0	0	0	2	0	0	0	0
ASV_1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11070	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11071	0	0	4	0	0	3	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	3	0	2	0	6	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	7	1
ASV_11092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11114	0	0	0	0	15	0	0	0	0	0	36	0	0	0	82	32	1	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	7	154	32	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	16	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1113	0	87	0	21	0	83	0	0	0	4	0	0	2	0	52	0	0	0	0	0	3	178	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	4	0	0	107	0	0	0	0	0	0	31	0	0	24	59	0	3	3	1	0	0	0	22	0	14	0	0	212	3	0	15	56	7	78	39	36	0	0	0	0	0	0	0	6	3	0	10	0	0	0	0	15	6	0	0	0	14	88	232	28	55	22	166	0	0	3	0	65	335	0	0	0	0	0	0	13	222	2	0	0	0	1	0	0	0	7	0	0	0	22	0	1	7	1	2	0	0	0	117	0	0	0	0	19	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	13	0	0	119	0	0	0	27	0	0	0	0	0	0	0	0	28	0	6	0	0	45	0	3	0	10	29	0	0	0	0	0	0	0	0	0	834	0	382	0	0	0	0	106	33	0	3	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	10	0	2	7	46	0	0	0	0	0	0	0	25	0	96	174	125	1239	80	605	19	16	0	139	35	12	0	77	0	4	4	0	0	0	0	0	0	25	3	34	0	0	49	45	10	23	1	119	117	291	123	124	79	315	0	102	0	6	0	0	0	0	26	8	2	17	5	0	5	0	1	1	16	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	12	3	0	0	132	9	104	70	0	159	20	3	8	0	0	31	0	12	0	41	27	13	5	14	0	59	1266	0	1	0	0	0	204	1	1	41	0	314	289	0	236	82	771	204
ASV_11145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	14	0	0	30	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV_11162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
